"Species","Census year","Census interval","AGB","AWP","AWM","BA","BAP","BAM","N","N10"
"Ormosia coccinea",1995,"1995 - 2000","0.189 (0.00843-0.516)","0.00312 (0.000202-0.0082)","0.000246 (9.48e-06-0.000588)","0.0172 (0.00207-0.0427)","0.000273 (5.06e-05-0.000635)","5.79e-05 (3.78e-06-0.000133)","1.52 (1.4-1.64)","0.1 (0.1-0.1)"
"Ormosia coccinea",2000,"2000 - 2005","0.199 (0.0094-0.541)","0.00302 (0.000379-0.00674)","0.000155 (7.17e-06-0.000389)","0.0179 (0.00225-0.0483)","0.000317 (8.76e-05-0.000643)","4.02e-05 (2.98e-06-9.42e-05)","1.74 (1.6-1.9)","0.1 (0.1-0.1)"
"Ormosia coccinea",2005,"2005 - 2010","0.213 (0.0106-0.583)","0.0021 (0.000403-0.00513)","0.000275 (2.76e-05-0.000655)","0.0193 (0.00254-0.0489)","0.000245 (9.61e-05-0.000525)","6.87e-05 (1.49e-05-0.000148)","2.04 (1.88-2.22)","0.1 (0.1-0.1)"
"Ormosia coccinea",2010,"2010 - 2015","0.222 (0.0119-0.596)","0.00269 (0.000502-0.00629)","0.000247 (1.43e-05-0.000653)","0.0202 (0.00276-0.0496)","0.00028 (0.000111-0.000549)","5.62e-05 (7.87e-06-0.00013)","2.12 (1.96-2.3)","0.14 (0.14-0.14)"
"Ormosia coccinea",2015,"1980 - 1985","0.234 (0.0142-0.619)",NA,NA,"0.0213 (0.0032-0.0524)",NA,NA,"2.26 (2.08-2.46)","0.16 (0.16-0.16)"
"Ormosia macrocalyx",1985,"1985 - 1990","0.269 (0.00768-0.62)","0.00446 (0.000284-0.011)","1.23e-05 (3.37e-06-2.57e-05)","0.0245 (0.00144-0.0534)","0.000414 (0.000104-0.000888)","7.07e-06 (2.21e-06-1.37e-05)","1.6 (1.5-1.7)","0.08 (0.08-0.08)"
"Ormosia macrocalyx",1990,"1990 - 1995","0.252 (0.00797-0.577)","0.00201 (0.000126-0.00521)","0.0232 (1.64e-05-0.0685)","0.0236 (0.00202-0.0518)","0.000198 (4.33e-05-0.000449)","0.00207 (8.79e-06-0.00604)","2.06 (1.96-2.18)","0.1 (0.1-0.1)"
"Ormosia macrocalyx",1995,"1995 - 2000","0.145 (0.00351-0.378)","0.00194 (0.000135-0.00552)","4.51e-05 (2.21e-05-7.15e-05)","0.0142 (0.00126-0.0351)","0.000193 (4.57e-05-0.000459)","2.32e-05 (1.28e-05-3.59e-05)","2.22 (2.1-2.36)","0.06 (0.06-0.06)"
"Ormosia macrocalyx",2000,"2000 - 2005","0.155 (0.00424-0.393)","0.00293 (0.000188-0.00758)","0.000114 (4.07e-05-0.000213)","0.0151 (0.00139-0.0368)","0.000283 (6.34e-05-0.000654)","4.2e-05 (1.89e-05-7.35e-05)","2.16 (2.04-2.3)","0.06 (0.06-0.06)"
"Ormosia macrocalyx",2005,"2005 - 2010","0.169 (0.00465-0.399)","0.00215 (0.000162-0.00528)","0.000196 (8.99e-05-0.00035)","0.0163 (0.00155-0.0389)","0.000216 (5.44e-05-0.000445)","6.76e-05 (3.66e-05-0.000105)","2.16 (2.04-2.3)","0.06 (0.06-0.06)"
"Ormosia macrocalyx",2010,"2010 - 2015","0.178 (0.00504-0.453)","0.00222 (0.000214-0.00505)","0.000139 (6.3e-05-0.000247)","0.017 (0.0015-0.041)","0.000227 (6.39e-05-0.000458)","5.3e-05 (2.82e-05-8.69e-05)","2.06 (1.96-2.18)","0.08 (0.08-0.08)"
"Ormosia macrocalyx",2015,"1980 - 1985","0.189 (0.00531-0.477)",NA,NA,"0.0179 (0.00149-0.0429)",NA,NA,"2.18 (2.08-2.3)","0.08 (0.08-0.08)"
"Ouratea lucens",1985,"1985 - 1990","0.029 (0.0254-0.0326)","0.00124 (0.00101-0.00152)","0.000989 (0.000666-0.00138)","0.00917 (0.00824-0.0102)","0.00042 (0.000357-0.000495)","0.000299 (0.000227-0.000388)","24.8 (23.1-26.6)",NA
"Ouratea lucens",1990,"1990 - 1995","0.0344 (0.0304-0.0388)","0.000724 (0.000529-0.000947)","0.000831 (0.000611-0.00108)","0.0109 (0.00994-0.012)","0.000232 (0.000182-0.000284)","0.00029 (0.000226-0.000358)","25 (23.3-26.8)",NA
"Ouratea lucens",1995,"1995 - 2000","0.0339 (0.0301-0.0379)","0.00104 (0.000877-0.00121)","0.000899 (0.000674-0.00117)","0.0107 (0.00968-0.0117)","0.000338 (0.000288-0.000385)","0.000303 (0.00024-0.000376)","23.5 (21.9-25.3)",NA
"Ouratea lucens",2000,"2000 - 2005","0.0347 (0.0305-0.0388)","0.00103 (0.000866-0.00124)","0.000713 (0.000541-0.000901)","0.0108 (0.00981-0.0119)","0.000341 (0.000292-0.000396)","0.000251 (0.000201-0.000315)","23.6 (22-25.3)",NA
"Ouratea lucens",2005,"2005 - 2010","0.0362 (0.0322-0.0404)","0.001 (0.00086-0.00118)","0.00114 (8e-04-0.00153)","0.0113 (0.0102-0.0124)","0.00033 (0.000285-0.000383)","0.000353 (0.000268-0.000453)","24.4 (22.8-26.2)",NA
"Ouratea lucens",2010,"2010 - 2015","0.0355 (0.0315-0.0395)","0.000914 (0.000799-0.00104)","0.000923 (0.000656-0.00121)","0.0112 (0.0101-0.0121)","0.000289 (0.000261-0.000321)","0.000291 (0.000227-0.000363)","24 (22.3-25.7)",NA
"Ouratea lucens",2015,"1980 - 1985","0.0354 (0.0313-0.0396)",NA,NA,"0.0111 (0.0102-0.0121)",NA,NA,"24 (22.4-25.5)",NA
"Pachira sessilis",1985,"1985 - 1990","0.105 (0.0291-0.193)","0.0031 (0.000544-0.00612)","7.96e-07 (0-2.39e-06)","0.0158 (0.00576-0.0267)","0.000394 (6.18e-05-0.000778)","6.75e-07 (0-2.03e-06)","0.48 (0.28-0.72)","0.18 (0.14-0.22)"
"Pachira sessilis",1990,"1990 - 1995","0.133 (0.0384-0.25)","0.00157 (0.000116-0.0037)","0.00945 (7.3e-07-0.0279)","0.0192 (0.00511-0.0349)","0.000199 (3.19e-05-0.00044)","0.00127 (0-0.00361)","0.46 (0.28-0.66)","0.2 (0.14-0.28)"
"Pachira sessilis",1995,"1995 - 2000","0.0947 (0.0197-0.2)","0.00158 (0.000256-0.00343)","3.13e-05 (6.05e-06-6.34e-05)","0.014 (0.00401-0.0278)","0.000212 (5.04e-05-4e-04)","1.54e-05 (4.95e-06-2.87e-05)","0.42 (0.26-0.58)","0.18 (0.14-0.26)"
"Pachira sessilis",2000,"2000 - 2005","0.102 (0.0227-0.209)","0.00207 (0.000813-0.00355)","0.00134 (5.62e-06-0.00394)","0.015 (0.00407-0.0296)","0.000282 (0.000113-0.000466)","0.000242 (3.57e-06-0.000697)","0.34 (0.22-0.46)","0.2 (0.14-0.28)"
"Pachira sessilis",2005,"2005 - 2010","0.106 (0.018-0.227)","0.0024 (0.000536-0.00439)","1.54e-06 (0-3.88e-06)","0.0151 (0.00321-0.0297)","0.000317 (0.000112-0.000573)","1.3e-06 (0-3.14e-06)","0.28 (0.18-0.38)","0.2 (0.14-0.28)"
"Pachira sessilis",2010,"2010 - 2015","0.111 (0.0182-0.232)","0.00298 (0.000577-0.00615)","0.000142 (0-0.000424)","0.016 (0.00402-0.0295)","0.000372 (7.14e-05-0.000744)","3.81e-05 (0-0.000113)","0.36 (0.26-0.46)","0.2 (0.14-0.28)"
"Pachira sessilis",2015,"1980 - 1985","0.125 (0.0284-0.25)",NA,NA,"0.0176 (0.00522-0.0331)",NA,NA,"0.36 (0.24-0.5)","0.18 (0.14-0.22)"
"Palicourea acuminata",1985,"1985 - 1990","4.93e-05 (1.79e-05-8.8e-05)","1.83e-05 (1.1e-05-2.79e-05)","9.46e-06 (3.71e-06-1.65e-05)","3.81e-05 (1.45e-05-6.44e-05)","1.31e-05 (8.37e-06-1.9e-05)","7.32e-06 (2.6e-06-1.33e-05)","0.22 (0.2-0.26)",NA
"Palicourea acuminata",1990,"1990 - 1995","9.52e-05 (4.88e-05-0.000152)","1.53e-05 (9.53e-06-2.08e-05)","1.85e-05 (9.02e-06-2.97e-05)","6.81e-05 (4e-05-0.000104)","1.15e-05 (7.12e-06-1.55e-05)","1.31e-05 (6.84e-06-2.04e-05)","0.32 (0.3-0.36)",NA
"Palicourea acuminata",1995,"1995 - 2000","7.99e-05 (4.59e-05-0.000118)","1.47e-05 (7.56e-06-2.38e-05)","1.45e-05 (7.7e-06-2.19e-05)","6.03e-05 (3.54e-05-8.66e-05)","9.91e-06 (5.21e-06-1.51e-05)","1.09e-05 (6.05e-06-1.65e-05)","0.26 (0.26-0.26)",NA
"Palicourea acuminata",2000,"2000 - 2005","8.05e-05 (4.17e-05-0.000131)","6.4e-06 (3.37e-06-1.05e-05)","1.49e-05 (7.01e-06-2.49e-05)","5.54e-05 (3.11e-05-8.6e-05)","4.93e-06 (2.58e-06-8.22e-06)","1.02e-05 (4.69e-06-1.65e-05)","0.24 (0.24-0.24)",NA
"Palicourea acuminata",2005,"2005 - 2010","3.73e-05 (1.46e-05-6.26e-05)","1.17e-05 (8.02e-06-1.57e-05)","5.56e-06 (1.45e-06-1.11e-05)","2.89e-05 (1.14e-05-5.23e-05)","8.66e-06 (6.01e-06-1.13e-05)","4.47e-06 (1.22e-06-8.73e-06)","0.16 (0.16-0.16)",NA
"Palicourea acuminata",2010,"2010 - 2015","6.8e-05 (3.77e-05-0.000105)","2.24e-05 (1.32e-05-3.33e-05)","9.55e-06 (5.39e-06-1.39e-05)","4.98e-05 (2.87e-05-7.33e-05)","1.53e-05 (9.75e-06-2.21e-05)","7.12e-06 (4.11e-06-1.04e-05)","0.28 (0.26-0.32)",NA
"Palicourea acuminata",2015,"1980 - 1985","0.000134 (8.05e-05-2e-04)",NA,NA,"9.2e-05 (5.84e-05-0.000128)",NA,NA,"0.4 (0.4-0.4)",NA
"Palicourea brachiata",1985,"1985 - 1990","0 (0-0)","7.72e-07 (7.72e-07-7.72e-07)","0 (0-0)","0 (0-0)","6.55e-07 (6.55e-07-6.55e-07)","0 (0-0)",NA,NA
"Palicourea brachiata",1990,"1990 - 1995","4.09e-06 (4.09e-06-4.09e-06)","9.76e-07 (9.76e-07-9.76e-07)","8.68e-07 (8.68e-07-8.68e-07)","3.47e-06 (3.47e-06-3.47e-06)","8.06e-07 (8.06e-07-8.06e-07)","7.36e-07 (7.36e-07-7.36e-07)","0.02 (0.02-0.02)",NA
"Palicourea brachiata",1995,"1995 - 2000","4.6e-06 (4.6e-06-4.6e-06)",NA,"9.25e-07 (9.25e-07-9.25e-07)","3.8e-06 (3.8e-06-3.8e-06)",NA,"7.64e-07 (7.64e-07-7.64e-07)","0.02 (0.02-0.02)",NA
"Palicourea brachiata",2000,"2000 - 2005","0 (0-0)","4.6e-07 (4.6e-07-4.6e-07)","0 (0-0)","0 (0-0)","3.8e-07 (3.8e-07-3.8e-07)","0 (0-0)",NA,NA
"Palicourea brachiata",2005,"2005 - 2010","2.3e-06 (0-4.6e-06)","2.97e-06 (1.43e-06-4.51e-06)","4.6e-07 (0-9.21e-07)","1.9e-06 (0-3.8e-06)","2.1e-06 (1.26e-06-2.94e-06)","3.8e-07 (0-7.6e-07)","0.02 (0.02-0.02)",NA
"Palicourea brachiata",2010,"1980 - 1985","1.49e-05 (7.16e-06-2.26e-05)",NA,"2.93e-06 (1.41e-06-4.45e-06)","1.05e-05 (6.28e-06-1.47e-05)",NA,"2.07e-06 (1.24e-06-2.9e-06)","0.06 (0.04-0.08)",NA
"Palicourea cyanococca",1985,"1985 - 1990","8.78e-06 (0-1.58e-05)","-4.12e-07 (-2.89e-06-1.65e-06)","3.33e-07 (0-1e-06)","6.68e-06 (0-1.53e-05)","1.97e-08 (-1.23e-06-1.29e-06)","2.92e-07 (0-8.77e-07)","0.06 (0.04-0.08)",NA
"Palicourea cyanococca",1990,"1990 - 1995","1.01e-05 (2.89e-06-1.59e-05)","7.47e-07 (0-1.37e-06)","5.99e-07 (0-1.8e-06)","7.6e-06 (2.26e-06-1.15e-05)","5.57e-07 (0-1.43e-06)","4.68e-07 (0-1.41e-06)","0.06 (0.06-0.06)",NA
"Palicourea cyanococca",1995,"1995 - 2000","1.08e-05 (2.89e-06-1.87e-05)","2.64e-06 (1.38e-06-4.78e-06)","1.58e-06 (0-3.3e-06)","8e-06 (2.26e-06-1.37e-05)","1.87e-06 (7.63e-07-3.47e-06)","1.14e-06 (0-2.29e-06)","0.06 (0.06-0.06)",NA
"Palicourea cyanococca",2000,"2000 - 2005","1.6e-05 (2.89e-06-2.95e-05)","6.37e-06 (2.3e-06-1.36e-05)","3.16e-06 (5.63e-07-5.75e-06)","1.15e-05 (2.26e-06-2.08e-05)","4.39e-06 (1.8e-06-9.24e-06)","2.27e-06 (4.4e-07-4.11e-06)","0.06 (0.06-0.06)",NA
"Palicourea cyanococca",2005,"2005 - 2010","3.22e-05 (1.16e-05-6.9e-05)","3.43e-06 (2.96e-06-4.19e-06)","5.04e-06 (0-1.34e-05)","2.21e-05 (9.05e-06-4.59e-05)","2.32e-06 (1.7e-06-3.46e-06)","3.4e-06 (0-8.82e-06)","0.1 (0.08-0.14)",NA
"Palicourea cyanococca",2010,"2010 - 2015","2.43e-05 (8.38e-06-3.48e-05)","3.05e-06 (0-6.7e-06)","2.41e-06 (1.05e-06-4.84e-06)","1.69e-05 (5.7e-06-2.4e-05)","2.21e-06 (0-5.22e-06)","1.65e-06 (9.19e-07-2.94e-06)","0.08 (0.06-0.12)",NA
"Palicourea cyanococca",2015,"1980 - 1985","2.75e-05 (2.17e-05-3.5e-05)",NA,NA,"1.98e-05 (1.36e-05-2.72e-05)",NA,NA,"0.08 (0.06-0.12)",NA
"Palicourea deflexa",1985,"1985 - 1990","0.000248 (2e-04-0.000302)","2.61e-05 (1.82e-05-3.59e-05)","2.81e-05 (2.02e-05-3.7e-05)","0.000184 (0.000153-0.000217)","1.78e-05 (1.25e-05-2.39e-05)","2.16e-05 (1.61e-05-2.76e-05)","1.54 (1.44-1.66)",NA
"Palicourea deflexa",1990,"1990 - 1995","0.000273 (0.000221-0.000334)","1.28e-05 (7.14e-06-1.93e-05)","3.87e-05 (2.73e-05-5.09e-05)","0.000186 (0.000153-0.00022)","8.54e-06 (4.41e-06-1.27e-05)","2.63e-05 (1.93e-05-3.36e-05)","1.2 (1.08-1.34)",NA
"Palicourea deflexa",1995,"1995 - 2000","0.00015 (0.000103-2e-04)","8.02e-06 (4.26e-06-1.26e-05)","2.24e-05 (1.49e-05-3.23e-05)","0.000101 (7.27e-05-0.000133)","5.6e-06 (3.25e-06-8.24e-06)","1.53e-05 (1.05e-05-2.03e-05)","0.6 (0.58-0.64)",NA
"Palicourea deflexa",2000,"2000 - 2005","7.81e-05 (4.08e-05-0.000127)","7.06e-06 (3.36e-06-1.15e-05)","9.68e-06 (4.27e-06-1.57e-05)","5.29e-05 (3.02e-05-7.99e-05)","4.85e-06 (2.27e-06-7.73e-06)","6.45e-06 (2.9e-06-1.02e-05)","0.28 (0.26-0.32)",NA
"Palicourea deflexa",2005,"2005 - 2010","6.45e-05 (3.13e-05-0.000105)","2.8e-05 (2.07e-05-3.67e-05)","7.13e-06 (2.43e-06-1.36e-05)","4.46e-05 (2.29e-05-7.21e-05)","1.99e-05 (1.54e-05-2.54e-05)","5.08e-06 (1.84e-06-9.38e-06)","0.26 (0.24-0.3)",NA
"Palicourea deflexa",2010,"2010 - 2015","0.000169 (0.000109-0.000231)","3.36e-05 (2.7e-05-4.07e-05)","1.41e-05 (7.95e-06-2.11e-05)","0.000119 (8.35e-05-0.000156)","2.47e-05 (2e-05-2.97e-05)","9.92e-06 (5.64e-06-1.46e-05)","0.76 (0.68-0.86)",NA
"Palicourea deflexa",2015,"1980 - 1985","0.000268 (0.000221-0.000328)",NA,NA,"0.000194 (0.000166-0.00023)",NA,NA,"1.38 (1.22-1.56)",NA
"Palicourea guianensis",1985,"1985 - 1990","0.0127 (0.00992-0.0158)","0.0077 (0.00643-0.00905)","0.0015 (0.00111-0.00193)","0.00533 (0.00433-0.00642)","0.003 (0.00256-0.00344)","0.000642 (0.00049-0.000813)","13.2 (11.3-15.4)",NA
"Palicourea guianensis",1990,"1990 - 1995","0.0444 (0.0374-0.0522)","0.006 (0.00501-0.00702)","0.00764 (0.00632-0.00915)","0.0178 (0.0151-0.0207)","0.00231 (0.00197-0.00268)","0.00308 (0.0026-0.00365)","29.4 (26.3-32.6)",NA
"Palicourea guianensis",1995,"1995 - 2000","0.037 (0.031-0.0434)","0.00438 (0.00323-0.0057)","0.00657 (0.00559-0.00778)","0.0143 (0.0122-0.0167)","0.00165 (0.00129-0.00208)","0.00251 (0.00217-0.00292)","20.9 (18.1-24.3)",NA
"Palicourea guianensis",2000,"2000 - 2005","0.0261 (0.0198-0.0344)","0.00321 (0.00256-0.00398)","0.00471 (0.00352-0.00601)","0.01 (0.00778-0.0129)","0.00135 (0.00111-0.00162)","0.00178 (0.00136-0.00225)","17.2 (13.9-21)",NA
"Palicourea guianensis",2005,"2005 - 2010","0.0187 (0.015-0.0233)","0.00613 (0.00526-0.00704)","0.00306 (0.00233-0.00385)","0.00789 (0.00646-0.00949)","0.00239 (0.00209-0.0027)","0.00127 (0.00103-0.00154)","17 (15-19)",NA
"Palicourea guianensis",2010,"2010 - 2015","0.0339 (0.0292-0.0392)","0.00499 (0.00417-0.00588)","0.00564 (0.00479-0.00651)","0.0135 (0.0116-0.0154)","0.00202 (0.00171-0.00232)","0.00222 (0.00191-0.00254)","22.3 (19.9-25)",NA
"Palicourea guianensis",2015,"1980 - 1985","0.0303 (0.0253-0.0357)",NA,NA,"0.0124 (0.0107-0.0142)",NA,NA,"26.4 (22.8-30.5)",NA
"Palicourea hoffmannseggiana",1985,"1985 - 1990","0 (0-0)","1.75e-06 (6.92e-07-2.8e-06)","0 (0-0)","0 (0-0)","1.32e-06 (6.07e-07-2.03e-06)","0 (0-0)",NA,NA
"Palicourea hoffmannseggiana",1990,"2000 - 2005","9.29e-06 (3.58e-06-1.5e-05)",NA,"1.93e-06 (7.47e-07-3.12e-06)","7.01e-06 (3.14e-06-1.09e-05)",NA,"1.46e-06 (6.56e-07-2.26e-06)","0.04 (0.04-0.04)",NA
"Palicourea hoffmannseggiana",2005,"2005 - 2010","0 (0-0)","4.56e-07 (4.56e-07-4.56e-07)","0 (0-0)","0 (0-0)","3.76e-07 (3.76e-07-3.76e-07)","0 (0-0)",NA,NA
"Palicourea hoffmannseggiana",2010,"2010 - 2015","2.3e-06 (0-6.9e-06)","2.05e-06 (1.5e-06-2.85e-06)","4.5e-07 (4.5e-07-4.5e-07)","1.9e-06 (0-5.7e-06)","1.73e-06 (1.29e-06-2.4e-06)","3.72e-07 (3.72e-07-3.72e-07)","0.02 (0.02-0.02)",NA
"Palicourea hoffmannseggiana",2015,"1980 - 1985","1.05e-05 (7.67e-06-1.46e-05)",NA,NA,"8.84e-06 (6.61e-06-1.23e-05)",NA,NA,"0.1 (0.08-0.14)",NA
"Palicourea racemosa",1985,"1985 - 1990","3.58e-06 (0-5.37e-06)","1.59e-06 (6.69e-07-2.51e-06)","6.83e-07 (0-1.05e-06)","3.14e-06 (0-4.71e-06)","1.24e-06 (5.87e-07-1.89e-06)","5.99e-07 (0-9.17e-07)","0.04 (0.04-0.04)",NA
"Palicourea racemosa",1990,"1995 - 2000","8.43e-06 (3.58e-06-1.33e-05)",NA,"1.78e-06 (7.7e-07-2.78e-06)","6.55e-06 (3.14e-06-9.96e-06)",NA,"1.38e-06 (6.75e-07-2.09e-06)","0.04 (0.04-0.04)",NA
"Palicourea racemosa",2000,"2000 - 2005","0 (0-0)","1.6e-06 (1.15e-06-2.05e-06)","0 (0-0)","0 (0-0)","1.27e-06 (8.99e-07-1.65e-06)","0 (0-0)",NA,NA
"Palicourea racemosa",2005,"2005 - 2010","8.09e-06 (0-1.91e-05)","6.41e-06 (2.89e-06-1.14e-05)","1.05e-06 (0-3.16e-06)","6.42e-06 (0-1.51e-05)","4.62e-06 (2.32e-06-7.52e-06)","8.45e-07 (0-2.54e-06)","0.04 (0.04-0.04)",NA
"Palicourea racemosa",2010,"2010 - 2015","3.47e-05 (1.19e-05-6.73e-05)","4.41e-06 (3.1e-06-5.93e-06)","4.65e-06 (8.13e-07-1.01e-05)","2.52e-05 (9.57e-06-4.55e-05)","3.5e-06 (2.63e-06-4.44e-06)","3.27e-06 (8.74e-07-6.66e-06)","0.14 (0.14-0.14)",NA
"Palicourea racemosa",2015,"1980 - 1985","3.33e-05 (1.89e-05-5.4e-05)",NA,NA,"2.64e-05 (1.6e-05-4.08e-05)",NA,NA,"0.2 (0.2-0.2)",NA
"Pavonia dasypetala",1985,"1980 - 1985","6.33e-06 (6.33e-06-6.33e-06)",NA,"1.18e-06 (1.18e-06-1.18e-06)","5.11e-06 (5.11e-06-5.11e-06)",NA,"9.51e-07 (9.51e-07-9.51e-07)","0.02 (0.02-0.02)",NA
"Pentagonia macrophylla",1985,"1985 - 1990","0.018 (0.0144-0.0225)","0.000995 (0.000768-0.00125)","0.000675 (0.000524-0.000853)","0.00582 (0.00506-0.00663)","0.000368 (3e-04-0.000434)","0.000282 (0.000227-0.000341)","10.1 (9.62-10.7)","0.04 (0.04-0.04)"
"Pentagonia macrophylla",1990,"1990 - 1995","0.0211 (0.0177-0.0248)","0.000491 (0.000269-0.000722)","0.000943 (0.000623-0.0014)","0.0067 (0.00591-0.00749)","0.000192 (0.000139-0.000249)","0.000339 (0.000256-0.000445)","8.9 (8.44-9.4)","0.04 (0.04-0.04)"
"Pentagonia macrophylla",1995,"1995 - 2000","0.0189 (0.0158-0.0223)","0.000751 (0.000459-0.00104)","0.00106 (0.000746-0.00145)","0.006 (0.00525-0.00676)","0.000253 (0.000185-0.000326)","0.00037 (0.000297-0.000462)","7.1 (6.78-7.5)",NA
"Pentagonia macrophylla",2000,"2000 - 2005","0.0174 (0.0143-0.0212)","0.000751 (0.000606-0.000924)","0.00101 (0.00062-0.00151)","0.00542 (0.00465-0.00615)","0.000275 (0.000222-0.000333)","0.000324 (0.000233-0.00043)","6.04 (5.76-6.34)","0.02 (0.02-0.02)"
"Pentagonia macrophylla",2005,"2005 - 2010","0.0161 (0.0137-0.019)","0.00112 (0.000826-0.00149)","0.000946 (0.000589-0.00134)","0.00517 (0.0045-0.0058)","0.000369 (0.00029-0.000463)","0.000308 (0.000218-0.000413)","5.84 (5.54-6.2)",NA
"Pentagonia macrophylla",2010,"2010 - 2015","0.0169 (0.0142-0.0198)","0.000478 (0.000383-0.000586)","0.000599 (0.000386-0.000871)","0.00544 (0.00475-0.00614)","0.000158 (0.000131-0.00019)","0.000203 (0.000135-0.000274)","5.98 (5.66-6.34)",NA
"Pentagonia macrophylla",2015,"1980 - 1985","0.0163 (0.0135-0.0191)",NA,NA,"0.00523 (0.00459-0.00596)",NA,NA,"6.26 (5.88-6.62)",NA
"Perebea xanthochyma",1985,"1985 - 1990","0.048 (0.0315-0.0656)","0.00213 (0.00156-0.00282)","0.000523 (8.97e-05-0.00149)","0.0103 (0.00775-0.0132)","0.000446 (0.000346-0.000562)","0.000128 (4.05e-05-0.000274)","5.38 (4.78-6.06)","0.32 (0.3-0.36)"
"Perebea xanthochyma",1990,"1990 - 1995","0.0564 (0.0387-0.0752)","0.00118 (0.000729-0.00164)","0.000124 (6.61e-05-0.000191)","0.0121 (0.00909-0.0155)","0.000259 (0.000183-0.000339)","5.57e-05 (3.42e-05-8.04e-05)","5.48 (4.86-6.24)","0.42 (0.38-0.48)"
"Perebea xanthochyma",1995,"1995 - 2000","0.0617 (0.0441-0.0822)","0.00151 (0.00113-0.00197)","0.0013 (0.000269-0.00293)","0.0131 (0.00988-0.0167)","0.00032 (0.000252-0.000401)","0.000266 (8.37e-05-0.000553)","5.06 (4.44-5.78)","0.42 (0.38-0.46)"
"Perebea xanthochyma",2000,"2000 - 2005","0.0628 (0.0448-0.0845)","0.00227 (0.00173-0.00293)","0.00103 (0.000182-0.00233)","0.0134 (0.0104-0.017)","0.00047 (0.000362-0.00058)","0.000219 (6.22e-05-0.000443)","4.82 (4.26-5.46)","0.46 (0.4-0.52)"
"Perebea xanthochyma",2005,"2005 - 2010","0.069 (0.0505-0.091)","0.0027 (0.00204-0.00346)","0.000345 (0.000106-0.000737)","0.0147 (0.0114-0.0179)","0.000523 (0.000407-0.000652)","9.97e-05 (4.3e-05-0.000181)","4.68 (4.1-5.3)","0.5 (0.44-0.58)"
"Perebea xanthochyma",2010,"2010 - 2015","0.0808 (0.0592-0.105)","0.0036 (0.0026-0.00479)","0.000857 (0.000251-0.00172)","0.0168 (0.0132-0.0205)","0.000661 (0.000493-0.000837)","2e-04 (7.31e-05-0.000372)","4.56 (4.04-5.16)","0.58 (0.52-0.66)"
"Perebea xanthochyma",2015,"1980 - 1985","0.0944 (0.0731-0.12)",NA,NA,"0.0191 (0.0152-0.0233)",NA,NA,"4.46 (3.94-5.02)","0.76 (0.68-0.86)"
"Picramnia latifolia",1985,"1985 - 1990","0.127 (0.102-0.157)","0.00726 (0.00564-0.00917)","0.0042 (0.0025-0.00609)","0.0298 (0.0255-0.0343)","0.00162 (0.00138-0.00191)","0.00107 (0.000781-0.00145)","23.5 (22.3-24.7)","0.68 (0.68-0.68)"
"Picramnia latifolia",1990,"1990 - 1995","0.144 (0.116-0.179)","0.00428 (0.0032-0.00552)","0.00429 (0.0029-0.00603)","0.0334 (0.0289-0.0383)","0.00108 (0.000872-0.00132)","0.0012 (0.000904-0.00153)","23.2 (22-24.5)","0.8 (0.8-0.8)"
"Picramnia latifolia",1995,"1995 - 2000","0.144 (0.116-0.178)","0.00454 (0.00353-0.00565)","0.00715 (0.00374-0.0126)","0.0329 (0.0284-0.0383)","0.0011 (0.000905-0.00131)","0.00156 (0.00101-0.00228)","21.7 (20.6-22.8)","0.9 (0.9-0.9)"
"Picramnia latifolia",2000,"2000 - 2005","0.132 (0.11-0.16)","0.00505 (0.00385-0.00653)","0.00479 (0.00326-0.00638)","0.0307 (0.0268-0.0354)","0.00119 (0.000979-0.00143)","0.00127 (0.000989-0.00159)","20.8 (19.5-22.1)","0.78 (0.76-0.82)"
"Picramnia latifolia",2005,"2005 - 2010","0.133 (0.108-0.162)","0.00439 (0.00337-0.00546)","0.00793 (0.00442-0.0123)","0.0303 (0.0259-0.0354)","0.00117 (0.000973-0.00138)","0.00169 (0.00115-0.00236)","21 (19.7-22.3)","0.74 (0.74-0.74)"
"Picramnia latifolia",2010,"2010 - 2015","0.116 (0.0938-0.141)","0.00327 (0.00259-0.00399)","0.00472 (0.00251-0.00779)","0.0277 (0.0238-0.0319)","0.000833 (0.000708-0.000959)","0.00105 (0.000705-0.00153)","21.5 (20.1-23)","0.62 (0.62-0.62)"
"Picramnia latifolia",2015,"1980 - 1985","0.108 (0.0886-0.127)",NA,NA,"0.0264 (0.0231-0.0302)",NA,NA,"22.7 (21.1-24.7)","0.6 (0.6-0.6)"
"Piper albopunctulatissimum",1985,"1985 - 1990","0.000284 (0.000127-0.000441)","5.88e-05 (2.04e-05-9.72e-05)","5.4e-05 (2.48e-05-8.32e-05)","0.00016 (6.99e-05-0.000251)","2.77e-05 (1.03e-05-4.52e-05)","3.04e-05 (1.36e-05-4.72e-05)","0.06 (0.04-0.08)",NA
"Piper albopunctulatissimum",1990,"1990 - 1995","0.00031 (0.000104-0.000516)","1.16e-05 (1.16e-05-1.16e-05)","6.44e-05 (2.16e-05-0.000107)","0.000146 (5.28e-05-0.00024)","5.76e-06 (5.76e-06-5.76e-06)","3.04e-05 (1.09e-05-4.99e-05)","0.06 (0.04-0.08)",NA
